order_id,line_no,article_id,supplier_id,order_type,message_type,order_date,expected_date,qty_ordered,qty_received,status,unit
PO-000017,1,P-00001046,S-000545,FIRM,DELJIT,2026-09-22,2026-10-07,1600,0,OPEN,KG
PO-000018,1,P-00001046,S-000545,FORECAST,DELFOR,2026-10-06,2026-10-21,1600,0,OPEN,KG
PO-000019,1,P-00001046,S-000545,FORECAST,DELFOR,2026-10-13,2026-10-28,1600,0,OPEN,KG
PO-000020,1,P-00001046,S-000545,FORECAST,DELFOR,2026-10-20,2026-11-04,1600,0,OPEN,KG
PO-000021,1,P-00001046,S-000545,FORECAST,DELFOR,2026-10-27,2026-11-11,1600,0,OPEN,KG
PO-000022,1,P-00001046,S-000545,FORECAST,DELFOR,2026-11-03,2026-11-18,1600,0,OPEN,KG
PO-000023,1,P-00001046,S-000545,FORECAST,DELFOR,2026-11-17,2026-12-02,1600,0,OPEN,KG
PO-000024,1,P-00001046,S-000545,FORECAST,DELFOR,2026-11-24,2026-12-09,1600,0,OPEN,KG
PO-000025,1,P-00001046,S-000545,FORECAST,DELFOR,2026-12-01,2026-12-16,1600,0,OPEN,KG
PO-000026,1,P-00001046,S-000545,FORECAST,DELFOR,2026-12-29,2027-01-13,1600,0,OPEN,KG
PO-000027,1,P-00001046,S-000545,FORECAST,DELFOR,2027-01-05,2027-01-20,1600,0,OPEN,KG
PO-000028,1,P-00001046,S-000545,FORECAST,DELFOR,2027-01-12,2027-01-27,1600,0,OPEN,KG
PO-000029,1,P-00001046,S-000545,FORECAST,DELFOR,2027-01-19,2027-02-03,1600,0,OPEN,KG
PO-000030,1,P-00001046,S-000545,FORECAST,DELFOR,2027-01-26,2027-02-10,1600,0,OPEN,KG
PO-000031,1,P-00001046,S-000545,FORECAST,DELFOR,2027-02-02,2027-02-17,1600,0,OPEN,KG
PO-000032,1,P-00001046,S-000545,FORECAST,DELFOR,2027-02-09,2027-02-24,1600,0,OPEN,KG
PO-000033,1,P-00001046,S-000545,FORECAST,DELFOR,2027-02-16,2027-03-03,1600,0,OPEN,KG
PO-000034,1,P-00001046,S-000545,FORECAST,DELFOR,2027-03-02,2027-03-17,1600,0,OPEN,KG
PO-000035,1,P-00001046,S-000545,FORECAST,DELFOR,2027-03-09,2027-03-24,1600,0,OPEN,KG
PO-000036,1,P-00001046,S-000545,FORECAST,DELFOR,2027-03-16,2027-03-31,1600,0,OPEN,KG
PO-000037,1,P-00003751,S-000599,FIRM,DELJIT,2026-03-09,2026-03-19,1350,0,CANCELLED,PCE
PO-000038,1,P-00003751,S-000599,FIRM,DELJIT,2026-03-16,2026-03-26,2970,1350,CLOSED,PCE
PO-000039,1,P-00003751,S-000599,FIRM,DELJIT,2026-03-23,2026-04-02,4050,2025,CLOSED,PCE
PO-000040,1,P-00003751,S-000599,FIRM,DELJIT,2026-03-30,2026-04-09,3645,1215,CLOSED,PCE
PO-000041,1,P-00003751,S-000599,FIRM,DELJIT,2026-04-06,2026-04-16,5130,0,CANCELLED,PCE
PO-000042,1,P-00003751,S-000599,FIRM,DELJIT,2026-04-13,2026-04-23,3510,2160,CLOSED,PCE
PO-000043,1,P-00003751,S-000599,FIRM,DELJIT,2026-04-20,2026-04-30,6345,945,CLOSED,PCE
PO-000044,1,P-00003751,S-000599,FIRM,DELJIT,2026-04-27,2026-05-07,4050,1215,CLOSED,PCE
PO-000045,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-03,2026-05-13,4050,0,CANCELLED,PCE
PO-000046,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-11,2026-05-21,3240,810,CLOSED,PCE
PO-000047,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-18,2026-05-28,1350,0,CANCELLED,PCE
PO-000048,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-21,2026-05-31,7425,0,CANCELLED,PCE
PO-000049,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-25,2026-06-04,2700,0,CANCELLED,PCE
PO-000050,1,P-00003751,S-000599,FIRM,DELJIT,2026-05-28,2026-06-07,6480,0,CANCELLED,PCE
PO-000051,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-01,2026-06-11,2700,810,CLOSED,PCE
PO-000052,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-04,2026-06-14,6210,0,CANCELLED,PCE
PO-000053,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-08,2026-06-18,3780,0,CANCELLED,PCE
PO-000054,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-11,2026-06-21,6480,0,CANCELLED,PCE
PO-000055,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-15,2026-06-25,3780,0,CANCELLED,PCE
PO-000056,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-22,2026-07-02,3780,2295,CLOSED,PCE
PO-000057,1,P-00003751,S-000599,FIRM,DELJIT,2026-06-29,2026-07-09,3780,0,CANCELLED,PCE
PO-000058,1,P-00003751,S-000599,FIRM,DELJIT,2026-07-06,2026-07-16,3780,4725,RECEIVED,PCE
PO-000059,1,P-00003751,S-000599,FIRM,DELJIT,2026-07-13,2026-07-23,4050,0,CANCELLED,PCE
PO-000060,1,P-00003751,S-000599,FIRM,DELJIT,2026-08-08,2026-08-18,1350,1350,RECEIVED,PCE
PO-000061,1,P-00003751,S-000599,FIRM,DELJIT,2026-08-15,2026-08-25,1890,1890,RECEIVED,PCE
PO-000062,1,P-00003751,S-000599,FIRM,DELJIT,2026-08-22,2026-09-01,4050,675,CLOSED,PCE
PO-000063,1,P-00003751,S-000599,FIRM,DELJIT,2026-08-29,2026-09-08,4320,2970,CLOSED,PCE
PO-000064,1,P-00003751,S-000599,FIRM,DELJIT,2026-09-05,2026-09-15,1890,0,CANCELLED,PCE
PO-000065,1,P-00003751,S-000599,FIRM,DELJIT,2026-09-12,2026-09-22,4320,0,OPEN,PCE
PO-000066,1,P-00003751,S-000599,FIRM,DELJIT,2026-09-17,2026-09-27,4725,0,OPEN,PCE
PO-000067,1,P-00003751,S-000599,FIRM,DELJIT,2026-09-21,2026-10-01,1350,0,OPEN,PCE
PO-000068,1,P-00003751,S-000599,FIRM,DELJIT,2026-09-28,2026-10-08,4050,0,OPEN,PCE
PO-000069,1,P-00003751,S-000599,FIRM,DELJIT,2026-10-05,2026-10-15,4050,0,OPEN,PCE
PO-000070,1,P-00003751,S-000599,FORECAST,DELFOR,2026-10-12,2026-10-22,4320,0,OPEN,PCE
PO-000071,1,P-00003751,S-000599,FORECAST,DELFOR,2026-10-19,2026-10-29,4050,0,OPEN,PCE
PO-000072,1,P-00003751,S-000599,FORECAST,DELFOR,2026-10-26,2026-11-05,4320,0,OPEN,PCE
PO-000073,1,P-00003751,S-000599,FORECAST,DELFOR,2026-11-02,2026-11-12,4185,0,OPEN,PCE
PO-000074,1,P-00003751,S-000599,FORECAST,DELFOR,2026-11-09,2026-11-19,4185,0,OPEN,PCE
PO-000075,1,P-00003751,S-000599,FORECAST,DELFOR,2026-11-16,2026-11-26,4185,0,OPEN,PCE
PO-000076,1,P-00003751,S-000599,FORECAST,DELFOR,2026-11-23,2026-12-03,4320,0,OPEN,PCE
PO-000077,1,P-00003751,S-000599,FORECAST,DELFOR,2026-11-30,2026-12-10,4320,0,OPEN,PCE
PO-000078,1,P-00003751,S-000599,FORECAST,DELFOR,2026-12-07,2026-12-17,4320,0,OPEN,PCE
PO-000079,1,P-00003751,S-000599,FORECAST,DELFOR,2027-01-04,2027-01-14,4320,0,OPEN,PCE
PO-000080,1,P-00003751,S-000599,FORECAST,DELFOR,2027-01-11,2027-01-21,4320,0,OPEN,PCE
PO-000081,1,P-00003751,S-000599,FORECAST,DELFOR,2027-01-18,2027-01-28,4320,0,OPEN,PCE
PO-000082,1,P-00003751,S-000599,FORECAST,DELFOR,2027-01-25,2027-02-04,4320,0,OPEN,PCE
PO-000083,1,P-00003751,S-000599,FORECAST,DELFOR,2027-02-01,2027-02-11,4320,0,OPEN,PCE
PO-000084,1,P-00003751,S-000599,FORECAST,DELFOR,2027-02-06,2027-02-16,4320,0,OPEN,PCE
PO-000085,1,P-00003751,S-000599,FORECAST,DELFOR,2027-02-13,2027-02-23,4320,0,OPEN,PCE
PO-000086,1,P-00003751,S-000599,FORECAST,DELFOR,2027-02-20,2027-03-02,4320,0,OPEN,PCE
PO-000087,1,P-00003751,S-000599,FORECAST,DELFOR,2027-02-27,2027-03-09,4320,0,OPEN,PCE
PO-000088,1,P-00003751,S-000599,FORECAST,DELFOR,2027-03-06,2027-03-16,4320,0,OPEN,PCE
PO-000089,1,P-00003751,S-000599,FORECAST,DELFOR,2027-03-13,2027-03-23,4320,0,OPEN,PCE
PO-000090,1,P-00003751,S-000599,FORECAST,DELFOR,2027-03-20,2027-03-30,4320,0,OPEN,PCE
PO-000091,1,P-00003751,S-000599,FORECAST,DELFOR,2027-03-27,2027-04-06,4320,0,OPEN,PCE
PO-000092,1,P-00003751,S-000599,FORECAST,DELFOR,2027-04-03,2027-04-13,4320,0,OPEN,PCE
PO-000093,1,P-00003751,S-000599,FORECAST,DELFOR,2027-04-10,2027-04-20,4320,0,OPEN,PCE
PO-000094,1,P-00003751,S-000599,FORECAST,DELFOR,2027-04-17,2027-04-27,4320,0,OPEN,PCE
PO-000095,1,P-00003751,S-000599,FORECAST,DELFOR,2027-04-24,2027-05-04,4320,0,OPEN,PCE
PO-000096,1,P-00003751,S-000599,FORECAST,DELFOR,2027-05-01,2027-05-11,4320,0,OPEN,PCE
PO-000097,1,P-00003751,S-000599,FORECAST,DELFOR,2027-05-08,2027-05-18,4320,0,OPEN,PCE
PO-000098,1,P-00003751,S-000599,FORECAST,DELFOR,2027-05-15,2027-05-25,4320,0,OPEN,PCE
PO-000099,1,P-00003751,S-000599,FORECAST,DELFOR,2027-05-22,2027-06-01,4320,0,OPEN,PCE
PO-000100,1,P-00003751,S-000599,FORECAST,DELFOR,2027-05-29,2027-06-08,4320,0,OPEN,PCE
PO-000101,1,P-00003751,S-000599,FORECAST,DELFOR,2027-06-05,2027-06-15,4320,0,OPEN,PCE
PO-000102,1,P-00003751,S-000599,FORECAST,DELFOR,2027-06-12,2027-06-22,4320,0,OPEN,PCE
PO-000103,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-02,2026-03-17,15215,15215,RECEIVED,KG
PO-000104,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-04,2026-03-19,19507,19507,RECEIVED,KG
PO-000105,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-11,2026-03-26,19508,19508,RECEIVED,KG
PO-000106,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-16,2026-03-31,19294,19294,RECEIVED,KG
PO-000107,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-18,2026-04-02,19614,19614,RECEIVED,KG
PO-000108,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-23,2026-04-07,19486,19486,RECEIVED,KG
PO-000109,1,P-00003759,S-000186,FIRM,DELJIT,2026-03-30,2026-04-14,16709,16709,RECEIVED,KG
PO-000110,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-01,2026-04-16,19302,0,CANCELLED,KG
PO-000111,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-06,2026-04-21,16586,16586,RECEIVED,KG
PO-000112,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-08,2026-04-23,19618,19618,RECEIVED,KG
PO-000113,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-13,2026-04-28,19298,19298,RECEIVED,KG
PO-000114,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-15,2026-04-30,19770,19770,RECEIVED,KG
PO-000115,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-20,2026-05-05,16637,16637,RECEIVED,KG
PO-000116,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-22,2026-05-07,19518,19518,RECEIVED,KG
PO-000117,1,P-00003759,S-000186,FIRM,DELJIT,2026-04-27,2026-05-12,19644,19644,RECEIVED,KG
PO-000118,1,P-00003759,S-000186,FIRM,DELJIT,2026-05-04,2026-05-19,16600,16600,RECEIVED,KG
PO-000119,1,P-00003759,S-000186,FIRM,DELJIT,2026-05-11,2026-05-26,19261,19261,RECEIVED,KG
PO-000120,1,P-00003759,S-000186,FIRM,DELJIT,2026-05-18,2026-06-02,19880,19880,RECEIVED,KG
PO-000121,1,P-00003759,S-000186,FIRM,DELJIT,2026-05-25,2026-06-09,16658,16658,RECEIVED,KG
PO-000122,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-01,2026-06-16,36920,16626,CLOSED,KG
PO-000123,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-08,2026-06-23,19359,19359,RECEIVED,KG
PO-000124,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-15,2026-06-30,16699,16699,RECEIVED,KG
PO-000125,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-16,2026-07-01,19243,19243,RECEIVED,KG
PO-000126,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-22,2026-07-07,17689,17689,RECEIVED,KG
PO-000127,1,P-00003759,S-000186,FIRM,DELJIT,2026-06-28,2026-07-13,19753,19753,RECEIVED,KG
PO-000128,1,P-00003759,S-000186,FIRM,DELJIT,2026-07-01,2026-07-16,19205,0,CANCELLED,KG
PO-000129,1,P-00003759,S-000186,FIRM,DELJIT,2026-07-06,2026-07-21,16624,16624,RECEIVED,KG
PO-000130,1,P-00003759,S-000186,FIRM,DELJIT,2026-08-05,2026-08-20,19093,19093,RECEIVED,KG
PO-000131,1,P-00003759,S-000186,FIRM,DELJIT,2026-08-12,2026-08-27,18176,18176,RECEIVED,KG
PO-000132,1,P-00003759,S-000186,FIRM,DELJIT,2026-08-19,2026-09-03,16627,16627,RECEIVED,KG
PO-000133,1,P-00003759,S-000186,FIRM,DELJIT,2026-08-26,2026-09-10,19441,19441,RECEIVED,KG
PO-000134,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-02,2026-09-17,19624,19624,RECEIVED,KG
PO-000135,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-09,2026-09-24,18460,0,OPEN,KG
PO-000136,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-14,2026-09-29,19880,0,OPEN,KG
PO-000137,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-16,2026-10-01,19880,0,OPEN,KG
PO-000138,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-21,2026-10-06,18460,0,OPEN,KG
PO-000139,1,P-00003759,S-000186,FIRM,DELJIT,2026-09-28,2026-10-13,18460,0,OPEN,KG
PO-000140,1,P-00003759,S-000186,FORECAST,DELFOR,2026-10-05,2026-10-20,36920,0,OPEN,KG
PO-000141,1,P-00003759,S-000186,FORECAST,DELFOR,2026-10-12,2026-10-27,17040,0,OPEN,KG
PO-000142,1,P-00003759,S-000186,FORECAST,DELFOR,2026-10-19,2026-11-03,38340,0,OPEN,KG
PO-000143,1,P-00003759,S-000186,FORECAST,DELFOR,2026-10-26,2026-11-10,17040,0,OPEN,KG
PO-000144,1,P-00003759,S-000186,FORECAST,DELFOR,2026-11-02,2026-11-17,38340,0,OPEN,KG
PO-000145,1,P-00003759,S-000186,FORECAST,DELFOR,2026-11-09,2026-11-24,17040,0,OPEN,KG
PO-000146,1,P-00003759,S-000186,FORECAST,DELFOR,2026-11-16,2026-12-01,36920,0,OPEN,KG
PO-000147,1,P-00003759,S-000186,FORECAST,DELFOR,2026-11-23,2026-12-08,36920,0,OPEN,KG
PO-000148,1,P-00003759,S-000186,FORECAST,DELFOR,2026-11-30,2026-12-15,18460,0,OPEN,KG
PO-000149,1,P-00003759,S-000186,FORECAST,DELFOR,2026-12-07,2026-12-22,17040,0,OPEN,KG
PO-000150,1,P-00003759,S-000186,FORECAST,DELFOR,2026-12-28,2027-01-12,36920,0,OPEN,KG
PO-000151,1,P-00003759,S-000186,FORECAST,DELFOR,2027-01-04,2027-01-19,36920,0,OPEN,KG
PO-000152,1,P-00003759,S-000186,FORECAST,DELFOR,2027-01-11,2027-01-26,18460,0,OPEN,KG
PO-000153,1,P-00003759,S-000186,FORECAST,DELFOR,2027-01-18,2027-02-02,36920,0,OPEN,KG
PO-000154,1,P-00003759,S-000186,FORECAST,DELFOR,2027-01-25,2027-02-09,38340,0,OPEN,KG
PO-000155,1,P-00003759,S-000186,FORECAST,DELFOR,2027-02-01,2027-02-16,17040,0,OPEN,KG
PO-000156,1,P-00003759,S-000186,FORECAST,DELFOR,2027-02-08,2027-02-23,36920,0,OPEN,KG
PO-000157,1,P-00003759,S-000186,FORECAST,DELFOR,2027-02-15,2027-03-02,18460,0,OPEN,KG
PO-000158,1,P-00003759,S-000186,FORECAST,DELFOR,2027-02-22,2027-03-09,36920,0,OPEN,KG
PO-000159,1,P-00003759,S-000186,FORECAST,DELFOR,2027-03-01,2027-03-16,36920,0,OPEN,KG
PO-000160,1,P-00003759,S-000186,FORECAST,DELFOR,2027-03-08,2027-03-23,18460,0,OPEN,KG
PO-000161,1,P-00003759,S-000186,FORECAST,DELFOR,2027-03-15,2027-03-30,36920,0,OPEN,KG
PO-000162,1,P-00004583,S-000186,FIRM,DELJIT,2026-03-02,2026-03-17,2840,2840,RECEIVED,KG
PO-000163,1,P-00004583,S-000186,FIRM,DELJIT,2026-03-30,2026-04-14,2840,2840,RECEIVED,KG
PO-000164,1,P-00004583,S-000186,FIRM,DELJIT,2026-04-06,2026-04-21,2840,2830,CLOSED,KG
PO-000165,1,P-00004583,S-000186,FIRM,DELJIT,2026-04-20,2026-05-05,2800,2800,RECEIVED,KG
PO-000166,1,P-00004583,S-000186,FIRM,DELJIT,2026-05-04,2026-05-19,2675,2675,RECEIVED,KG
PO-000167,1,P-00004583,S-000186,FIRM,DELJIT,2026-05-25,2026-06-09,2769,2769,RECEIVED,KG
PO-000168,1,P-00004583,S-000186,FIRM,DELJIT,2026-06-01,2026-06-16,2840,2843,RECEIVED,KG
PO-000169,1,P-00004583,S-000186,FIRM,DELJIT,2026-06-15,2026-06-30,2734,2734,RECEIVED,KG
PO-000170,1,P-00004583,S-000186,FIRM,DELJIT,2026-06-22,2026-07-07,1420,1420,RECEIVED,KG
PO-000171,1,P-00004583,S-000186,FIRM,DELJIT,2026-07-06,2026-07-21,2840,2840,RECEIVED,KG
PO-000172,1,P-00004583,S-000186,FIRM,DELJIT,2026-08-12,2026-08-27,1380,1380,RECEIVED,KG
PO-000173,1,P-00004583,S-000186,FIRM,DELJIT,2026-08-19,2026-09-03,2819,2819,RECEIVED,KG
PO-000174,1,P-00004583,S-000186,FIRM,DELJIT,2026-09-09,2026-09-24,1420,0,OPEN,KG
PO-000175,1,P-00004583,S-000186,FIRM,DELJIT,2026-09-21,2026-10-06,1420,0,OPEN,KG
PO-000176,1,P-00004583,S-000186,FIRM,DELJIT,2026-09-28,2026-10-13,1420,0,OPEN,KG
PO-000177,1,P-00004583,S-000186,FORECAST,DELFOR,2026-10-05,2026-10-20,2840,0,OPEN,KG
PO-000178,1,P-00004583,S-000186,FORECAST,DELFOR,2026-10-12,2026-10-27,2840,0,OPEN,KG
PO-000179,1,P-00004583,S-000186,FORECAST,DELFOR,2026-10-19,2026-11-03,1420,0,OPEN,KG
PO-000180,1,P-00004583,S-000186,FORECAST,DELFOR,2026-10-26,2026-11-10,2840,0,OPEN,KG
PO-000181,1,P-00004583,S-000186,FORECAST,DELFOR,2026-11-02,2026-11-17,1420,0,OPEN,KG
PO-000182,1,P-00004583,S-000186,FORECAST,DELFOR,2026-11-09,2026-11-24,2840,0,OPEN,KG
PO-000183,1,P-00004583,S-000186,FORECAST,DELFOR,2026-11-16,2026-12-01,2840,0,OPEN,KG
PO-000184,1,P-00004583,S-000186,FORECAST,DELFOR,2026-11-23,2026-12-08,2840,0,OPEN,KG
PO-000185,1,P-00004583,S-000186,FORECAST,DELFOR,2026-11-30,2026-12-15,1420,0,OPEN,KG
PO-000186,1,P-00004583,S-000186,FORECAST,DELFOR,2026-12-07,2026-12-22,2840,0,OPEN,KG
PO-000187,1,P-00004583,S-000186,FORECAST,DELFOR,2026-12-28,2027-01-12,2840,0,OPEN,KG
PO-000188,1,P-00004583,S-000186,FORECAST,DELFOR,2027-01-04,2027-01-19,2840,0,OPEN,KG
PO-000189,1,P-00004583,S-000186,FORECAST,DELFOR,2027-01-11,2027-01-26,1420,0,OPEN,KG
PO-000190,1,P-00004583,S-000186,FORECAST,DELFOR,2027-01-18,2027-02-02,2840,0,OPEN,KG
PO-000191,1,P-00004583,S-000186,FORECAST,DELFOR,2027-01-25,2027-02-09,1420,0,OPEN,KG
PO-000192,1,P-00004583,S-000186,FORECAST,DELFOR,2027-02-01,2027-02-16,2840,0,OPEN,KG
PO-000193,1,P-00004583,S-000186,FORECAST,DELFOR,2027-02-08,2027-02-23,2840,0,OPEN,KG
PO-000194,1,P-00004583,S-000186,FORECAST,DELFOR,2027-02-15,2027-03-02,1420,0,OPEN,KG
PO-000195,1,P-00004583,S-000186,FORECAST,DELFOR,2027-02-22,2027-03-09,2840,0,OPEN,KG
PO-000196,1,P-00004583,S-000186,FORECAST,DELFOR,2027-03-01,2027-03-16,2840,0,OPEN,KG
PO-000197,1,P-00004583,S-000186,FORECAST,DELFOR,2027-03-08,2027-03-23,1420,0,OPEN,KG
PO-000198,1,P-00004583,S-000186,FORECAST,DELFOR,2027-03-15,2027-03-30,2840,0,OPEN,KG
PO-000199,1,P-00005010,S-000286,FIRM,DELJIT,2026-03-04,2026-03-19,72000,0,CANCELLED,M
PO-000200,1,P-00005010,S-000286,FIRM,DELJIT,2026-03-18,2026-04-02,73476,0,CANCELLED,M
PO-000201,1,P-00005010,S-000286,FIRM,DELJIT,2026-03-25,2026-04-09,79820,79820,RECEIVED,M
PO-000202,1,P-00005010,S-000286,FIRM,DELJIT,2026-04-01,2026-04-16,72000,0,CANCELLED,M
PO-000203,1,P-00005010,S-000286,FIRM,DELJIT,2026-04-08,2026-04-23,72000,0,CANCELLED,M
PO-000204,1,P-00005010,S-000286,FIRM,DELJIT,2026-04-15,2026-04-30,72000,0,CANCELLED,M
PO-000205,1,P-00005010,S-000286,FIRM,DELJIT,2026-04-22,2026-05-07,72000,0,CANCELLED,M
PO-000206,1,P-00005010,S-000286,FIRM,DELJIT,2026-05-06,2026-05-21,73970,73970,RECEIVED,M
PO-000207,1,P-00005010,S-000286,FIRM,DELJIT,2026-05-20,2026-06-04,72000,0,CANCELLED,M
PO-000208,1,P-00005010,S-000286,FIRM,DELJIT,2026-05-27,2026-06-11,72000,0,CANCELLED,M
PO-000209,1,P-00005010,S-000286,FIRM,DELJIT,2026-06-03,2026-06-18,80860,80860,RECEIVED,M
PO-000210,1,P-00005010,S-000286,FIRM,DELJIT,2026-06-10,2026-06-25,78638,78638,RECEIVED,M
PO-000211,1,P-00005010,S-000286,FIRM,DELJIT,2026-06-17,2026-07-02,78754,0,CANCELLED,M
PO-000212,1,P-00005010,S-000286,FIRM,DELJIT,2026-07-08,2026-07-23,70504,70504,RECEIVED,M
PO-000213,1,P-00005010,S-000286,FIRM,DELJIT,2026-07-15,2026-07-30,72000,0,CANCELLED,M
PO-000214,1,P-00005010,S-000286,FIRM,DELJIT,2026-09-02,2026-09-17,71318,71318,RECEIVED,M
PO-000215,1,P-00005010,S-000286,FIRM,DELJIT,2026-09-16,2026-10-01,72000,0,OPEN,M
PO-000216,1,P-00005010,S-000286,FIRM,DELJIT,2026-09-23,2026-10-08,72000,0,OPEN,M
PO-000217,1,P-00005010,S-000286,FORECAST,DELFOR,2026-10-07,2026-10-22,72000,0,OPEN,M
PO-000218,1,P-00005010,S-000286,FORECAST,DELFOR,2026-10-14,2026-10-29,72000,0,OPEN,M
PO-000219,1,P-00005010,S-000286,FORECAST,DELFOR,2026-10-21,2026-11-05,72000,0,OPEN,M
PO-000220,1,P-00005010,S-000286,FORECAST,DELFOR,2026-10-28,2026-11-12,72000,0,OPEN,M
PO-000221,1,P-00005010,S-000286,FORECAST,DELFOR,2026-11-11,2026-11-26,72000,0,OPEN,M
PO-000222,1,P-00005010,S-000286,FORECAST,DELFOR,2026-11-18,2026-12-03,72000,0,OPEN,M
PO-000223,1,P-00005010,S-000286,FORECAST,DELFOR,2026-11-25,2026-12-10,72000,0,OPEN,M
PO-000224,1,P-00005010,S-000286,FORECAST,DELFOR,2026-12-02,2026-12-17,72000,0,OPEN,M
PO-000225,1,P-00005010,S-000286,FORECAST,DELFOR,2026-12-30,2027-01-14,72000,0,OPEN,M
PO-000226,1,P-00005010,S-000286,FORECAST,DELFOR,2027-01-06,2027-01-21,72000,0,OPEN,M
PO-000227,1,P-00005010,S-000286,FORECAST,DELFOR,2027-01-13,2027-01-28,72000,0,OPEN,M
PO-000228,1,P-00005010,S-000286,FORECAST,DELFOR,2027-01-20,2027-02-04,72000,0,OPEN,M
PO-000229,1,P-00005010,S-000286,FORECAST,DELFOR,2027-01-27,2027-02-11,72000,0,OPEN,M
PO-000230,1,P-00005010,S-000286,FORECAST,DELFOR,2027-02-10,2027-02-25,72000,0,OPEN,M
PO-000231,1,P-00005010,S-000286,FORECAST,DELFOR,2027-02-17,2027-03-04,72000,0,OPEN,M
PO-000232,1,P-00005010,S-000286,FORECAST,DELFOR,2027-02-24,2027-03-11,72000,0,OPEN,M
PO-000233,1,P-00005010,S-000286,FORECAST,DELFOR,2027-03-03,2027-03-18,72000,0,OPEN,M
PO-000234,1,P-00005010,S-000286,FORECAST,DELFOR,2027-03-17,2027-04-01,72000,0,OPEN,M
PO-000235,1,P-00005129,S-000106,FIRM,DELJIT,2026-04-07,2026-04-27,48675,0,CANCELLED,M
PO-000236,1,P-00005129,S-000106,FIRM,DELJIT,2026-04-28,2026-05-18,48675,0,CANCELLED,M
