receipt_id,order_id,article_id,supplier_id,receipt_date,qty,unit
RC-000087,,P-00003759,S-000186,2026-07-17,19205,KG
RC-000088,PO-000129,P-00003759,S-000186,2026-07-21,16624,KG
RC-000089,PO-000130,P-00003759,S-000186,2026-08-20,19093,KG
RC-000090,PO-000131,P-00003759,S-000186,2026-08-27,18176,KG
RC-000091,PO-000132,P-00003759,S-000186,2026-09-03,16627,KG
RC-000092,PO-000133,P-00003759,S-000186,2026-09-10,19441,KG
RC-000093,PO-000134,P-00003759,S-000186,2026-09-17,19624,KG
RC-000094,PO-000162,P-00004583,S-000186,2026-03-17,2840,KG
RC-000095,PO-000163,P-00004583,S-000186,2026-04-14,2840,KG
RC-000096,PO-000164,P-00004583,S-000186,2026-04-21,2830,KG
RC-000097,PO-000165,P-00004583,S-000186,2026-05-05,2800,KG
RC-000098,PO-000166,P-00004583,S-000186,2026-05-19,2675,KG
RC-000099,PO-000167,P-00004583,S-000186,2026-06-09,2769,KG
RC-000100,PO-000168,P-00004583,S-000186,2026-06-16,2843,KG
RC-000101,PO-000169,P-00004583,S-000186,2026-06-30,2734,KG
RC-000102,PO-000170,P-00004583,S-000186,2026-07-07,1420,KG
RC-000103,PO-000171,P-00004583,S-000186,2026-07-21,2840,KG
RC-000104,PO-000172,P-00004583,S-000186,2026-08-27,1380,KG
RC-000105,PO-000173,P-00004583,S-000186,2026-09-03,2819,KG
RC-000106,,P-00005010,S-000286,2026-03-18,75270,M
RC-000107,,P-00005010,S-000286,2026-04-01,73476,M
RC-000108,PO-000201,P-00005010,S-000286,2026-04-09,79820,M
RC-000109,,P-00005010,S-000286,2026-04-20,74490,M
RC-000110,,P-00005010,S-000286,2026-04-22,72020,M
RC-000111,,P-00005010,S-000286,2026-04-29,74230,M
RC-000112,,P-00005010,S-000286,2026-05-11,72280,M
RC-000113,PO-000206,P-00005010,S-000286,2026-05-21,73970,M
RC-000114,,P-00005010,S-000286,2026-05-28,82940,M
RC-000115,,P-00005010,S-000286,2026-06-10,75400,M
RC-000116,PO-000209,P-00005010,S-000286,2026-06-18,80860,M
RC-000117,PO-000210,P-00005010,S-000286,2026-06-25,78638,M
RC-000118,,P-00005010,S-000286,2026-07-01,78754,M
RC-000119,PO-000212,P-00005010,S-000286,2026-07-23,70504,M
RC-000120,,P-00005010,S-000286,2026-08-07,74968,M
RC-000121,PO-000214,P-00005010,S-000286,2026-09-17,71318,M
RC-000122,,P-00005129,S-000106,2026-04-17,47619,M
RC-000123,,P-00005129,S-000106,2026-05-20,47785,M
RC-000124,,P-00005129,S-000106,2026-06-02,48510,M
RC-000125,,P-00005129,S-000106,2026-06-10,48840,M
RC-000126,,P-00005129,S-000106,2026-06-16,45440,M
RC-000127,,P-00005129,S-000106,2026-07-16,95385,M
RC-000128,,P-00005129,S-000106,2026-07-17,48015,M
RC-000129,,P-00005129,S-000106,2026-08-10,48675,M
RC-000130,,P-00005129,S-000106,2026-09-09,49005,M
RC-000131,PO-000261,P-00005775,S-000032,2026-03-17,19008,PCE
RC-000132,PO-000262,P-00005775,S-000032,2026-03-19,19008,PCE
RC-000133,PO-000263,P-00005775,S-000032,2026-03-23,19008,PCE
RC-000134,PO-000264,P-00005775,S-000032,2026-03-25,19008,PCE
RC-000135,PO-000265,P-00005775,S-000032,2026-03-27,19008,PCE
RC-000136,PO-000266,P-00005775,S-000032,2026-03-30,19008,PCE
RC-000137,PO-000267,P-00005775,S-000032,2026-03-31,19008,PCE
RC-000138,PO-000268,P-00005775,S-000032,2026-04-01,19008,PCE
RC-000139,PO-000269,P-00005775,S-000032,2026-04-07,19008,PCE
RC-000140,PO-000270,P-00005775,S-000032,2026-04-08,19008,PCE
RC-000141,PO-000271,P-00005775,S-000032,2026-04-10,19008,PCE
RC-000142,PO-000272,P-00005775,S-000032,2026-04-13,19008,PCE
RC-000143,PO-000273,P-00005775,S-000032,2026-04-15,19008,PCE
RC-000144,PO-000274,P-00005775,S-000032,2026-04-17,19008,PCE
RC-000145,PO-000275,P-00005775,S-000032,2026-04-20,19008,PCE
RC-000146,PO-000276,P-00005775,S-000032,2026-04-22,19008,PCE
RC-000147,PO-000277,P-00005775,S-000032,2026-04-24,19008,PCE
RC-000148,PO-000278,P-00005775,S-000032,2026-04-27,19008,PCE
RC-000149,PO-000279,P-00005775,S-000032,2026-04-28,19008,PCE
RC-000150,PO-000280,P-00005775,S-000032,2026-04-29,19008,PCE
RC-000151,PO-000281,P-00005775,S-000032,2026-05-04,19008,PCE
RC-000152,PO-000282,P-00005775,S-000032,2026-05-06,19008,PCE
RC-000153,PO-000283,P-00005775,S-000032,2026-05-11,19008,PCE
RC-000154,PO-000284,P-00005775,S-000032,2026-05-13,19008,PCE
RC-000155,PO-000285,P-00005775,S-000032,2026-05-18,19008,PCE
RC-000156,PO-000286,P-00005775,S-000032,2026-05-20,19008,PCE
RC-000157,PO-000287,P-00005775,S-000032,2026-05-22,19008,PCE
RC-000158,,P-00005775,S-000032,2026-05-27,19008,PCE
RC-000159,PO-000289,P-00005775,S-000032,2026-05-28,19008,PCE
RC-000160,PO-000290,P-00005775,S-000032,2026-05-29,19008,PCE
RC-000161,,P-00005775,S-000032,2026-06-03,19008,PCE
RC-000162,PO-000292,P-00005775,S-000032,2026-06-04,19008,PCE
RC-000163,PO-000293,P-00005775,S-000032,2026-06-08,19008,PCE
RC-000164,PO-000294,P-00005775,S-000032,2026-06-10,19008,PCE
RC-000165,PO-000295,P-00005775,S-000032,2026-06-12,19008,PCE
RC-000166,,P-00005775,S-000032,2026-06-16,19008,PCE
RC-000167,PO-000297,P-00005775,S-000032,2026-06-17,19008,PCE
RC-000168,PO-000298,P-00005775,S-000032,2026-06-19,19008,PCE
RC-000169,PO-000299,P-00005775,S-000032,2026-06-22,19008,PCE
RC-000170,PO-000300,P-00005775,S-000032,2026-06-24,19008,PCE
RC-000171,PO-000301,P-00005775,S-000032,2026-06-26,19008,PCE
RC-000172,PO-000302,P-00005775,S-000032,2026-06-30,19008,PCE
RC-000173,PO-000303,P-00005775,S-000032,2026-07-02,19008,PCE
RC-000174,PO-000304,P-00005775,S-000032,2026-07-06,19008,PCE
RC-000175,PO-000305,P-00005775,S-000032,2026-07-08,19008,PCE
RC-000176,PO-000306,P-00005775,S-000032,2026-07-10,19008,PCE
RC-000177,PO-000307,P-00005775,S-000032,2026-07-15,19008,PCE
RC-000178,PO-000308,P-00005775,S-000032,2026-07-16,19008,PCE
RC-000179,PO-000309,P-00005775,S-000032,2026-07-17,19008,PCE
RC-000180,PO-000310,P-00005775,S-000032,2026-07-21,19008,PCE
RC-000181,PO-000311,P-00005775,S-000032,2026-07-23,19008,PCE
RC-000182,PO-000312,P-00005775,S-000032,2026-08-20,19008,PCE
RC-000183,PO-000313,P-00005775,S-000032,2026-08-25,19008,PCE
RC-000184,PO-000314,P-00005775,S-000032,2026-08-27,19008,PCE
RC-000185,PO-000315,P-00005775,S-000032,2026-09-01,19008,PCE
RC-000186,PO-000316,P-00005775,S-000032,2026-09-03,19008,PCE
RC-000187,PO-000317,P-00005775,S-000032,2026-09-07,19008,PCE
RC-000188,PO-000318,P-00005775,S-000032,2026-09-09,19008,PCE
RC-000189,,P-00005775,S-000032,2026-09-14,19008,PCE
RC-000190,PO-000320,P-00005775,S-000032,2026-09-15,19008,PCE
RC-000191,PO-000321,P-00005775,S-000032,2026-09-17,19008,PCE
RC-000192,,P-00005775,S-001033,2026-05-31,16416,PCE
RC-000193,,P-00005775,S-001033,2026-06-08,16416,PCE
RC-000194,,P-00005775,S-001033,2026-06-22,16416,PCE
RC-000195,PO-000350,P-00040241,S-000517,2026-03-19,2430,PCE
RC-000196,PO-000351,P-00040241,S-000517,2026-03-26,3375,PCE
RC-000197,PO-000352,P-00040241,S-000517,2026-04-09,3510,PCE
RC-000198,PO-000353,P-00040241,S-000517,2026-04-23,5400,PCE
RC-000199,PO-000354,P-00040241,S-000517,2026-05-07,3240,PCE
RC-000200,PO-000355,P-00040241,S-000517,2026-05-18,3240,PCE
RC-000201,PO-000356,P-00040241,S-000517,2026-05-21,1350,PCE
RC-000202,PO-000357,P-00040241,S-000517,2026-05-28,1890,PCE
RC-000203,,P-00040241,S-000517,2026-06-05,2700,PCE
RC-000204,PO-000359,P-00040241,S-000517,2026-06-18,1350,PCE
RC-000205,PO-000360,P-00040241,S-000517,2026-06-25,1350,PCE
RC-000206,,P-00040241,S-000517,2026-07-01,1350,PCE
RC-000207,PO-000362,P-00040241,S-000517,2026-07-09,1890,PCE
RC-000208,,P-00040241,S-000517,2026-07-17,3240,PCE
RC-000209,,P-00040241,S-000517,2026-07-27,3780,PCE
RC-000210,PO-000365,P-00040241,S-000517,2026-08-27,2160,PCE
RC-000211,,P-00040241,S-000517,2026-09-04,2160,PCE
RC-000212,PO-000367,P-00040241,S-000517,2026-09-17,540,PCE
RC-000213,PO-000393,P-00043859,S-000032,2026-03-16,1656,PCE
RC-000214,PO-000394,P-00043859,S-000032,2026-03-23,1656,PCE
RC-000215,PO-000395,P-00043859,S-000032,2026-03-25,1656,PCE
RC-000216,PO-000396,P-00043859,S-000032,2026-03-27,1656,PCE
RC-000217,PO-000397,P-00043859,S-000032,2026-03-31,1656,PCE
RC-000218,PO-000398,P-00043859,S-000032,2026-04-02,1656,PCE
RC-000219,PO-000399,P-00043859,S-000032,2026-04-03,1656,PCE
RC-000220,PO-000400,P-00043859,S-000032,2026-04-07,1656,PCE
RC-000221,PO-000401,P-00043859,S-000032,2026-04-08,1656,PCE
RC-000222,PO-000402,P-00043859,S-000032,2026-04-09,1656,PCE
RC-000223,PO-000403,P-00043859,S-000032,2026-04-10,1404,PCE
RC-000224,PO-000404,P-00043859,S-000032,2026-04-15,1656,PCE
RC-000225,PO-000405,P-00043859,S-000032,2026-04-20,1656,PCE
RC-000226,PO-000406,P-00043859,S-000032,2026-04-22,1656,PCE
RC-000227,PO-000407,P-00043859,S-000032,2026-04-24,1656,PCE
RC-000228,PO-000408,P-00043859,S-000032,2026-04-27,1656,PCE
RC-000229,PO-000409,P-00043859,S-000032,2026-04-29,1656,PCE
RC-000230,PO-000410,P-00043859,S-000032,2026-04-30,1656,PCE
RC-000231,PO-000411,P-00043859,S-000032,2026-05-04,1656,PCE
RC-000232,PO-000412,P-00043859,S-000032,2026-05-06,1656,PCE
RC-000233,PO-000413,P-00043859,S-000032,2026-05-11,1656,PCE
RC-000234,PO-000414,P-00043859,S-000032,2026-05-12,1656,PCE
RC-000235,PO-000415,P-00043859,S-000032,2026-05-21,1656,PCE
RC-000236,,P-00043859,S-000032,2026-05-26,1656,PCE
RC-000237,PO-000417,P-00043859,S-000032,2026-06-01,1656,PCE
RC-000238,PO-000418,P-00043859,S-000032,2026-06-05,1656,PCE
RC-000239,PO-000419,P-00043859,S-000032,2026-06-10,1656,PCE
RC-000240,PO-000420,P-00043859,S-000032,2026-06-12,1656,PCE
RC-000241,PO-000421,P-00043859,S-000032,2026-06-15,1656,PCE
RC-000242,PO-000422,P-00043859,S-000032,2026-06-17,1656,PCE
RC-000243,PO-000423,P-00043859,S-000032,2026-06-19,1656,PCE
RC-000244,PO-000424,P-00043859,S-000032,2026-06-24,1656,PCE
RC-000245,PO-000425,P-00043859,S-000032,2026-06-26,1656,PCE
RC-000246,PO-000426,P-00043859,S-000032,2026-06-30,1656,PCE
RC-000247,PO-000427,P-00043859,S-000032,2026-07-02,1656,PCE
RC-000248,PO-000428,P-00043859,S-000032,2026-07-06,1656,PCE
RC-000249,PO-000429,P-00043859,S-000032,2026-07-08,1656,PCE
RC-000250,PO-000430,P-00043859,S-000032,2026-07-10,1656,PCE
RC-000251,PO-000431,P-00043859,S-000032,2026-07-13,1656,PCE
RC-000252,PO-000432,P-00043859,S-000032,2026-07-15,1656,PCE
RC-000253,PO-000433,P-00043859,S-000032,2026-07-17,1656,PCE
RC-000254,PO-000434,P-00043859,S-000032,2026-07-20,1656,PCE
RC-000255,PO-000435,P-00043859,S-000032,2026-07-22,1656,PCE
RC-000256,PO-000436,P-00043859,S-000032,2026-07-24,1656,PCE
RC-000257,PO-000437,P-00043859,S-000032,2026-08-19,1656,PCE
RC-000258,PO-000438,P-00043859,S-000032,2026-08-24,1656,PCE
RC-000259,PO-000439,P-00043859,S-000032,2026-08-31,1656,PCE
RC-000260,PO-000440,P-00043859,S-000032,2026-09-02,1656,PCE
RC-000261,PO-000441,P-00043859,S-000032,2026-09-08,1656,PCE
RC-000262,PO-000442,P-00043859,S-000032,2026-09-10,1656,PCE
RC-000263,PO-000443,P-00043859,S-000032,2026-09-14,1656,PCE
RC-000264,PO-000444,P-00043859,S-000032,2026-09-16,1656,PCE
RC-000265,,P-00043859,S-001033,2026-05-31,1944,PCE
RC-000266,,P-00043859,S-001033,2026-06-08,1944,PCE
RC-000267,,P-00043859,S-001033,2026-06-22,1944,PCE
RC-000268,,P-00061611,S-000378,2026-03-20,4800,PCE
RC-000269,PO-000474,P-00061611,S-000378,2026-04-13,1920,PCE
RC-000270,,P-00061611,S-000378,2026-04-17,2400,PCE
RC-000271,,P-00061611,S-000378,2026-04-22,2400,PCE
RC-000272,PO-000477,P-00061611,S-000378,2026-04-23,2400,PCE
RC-000273,PO-000479,P-00061611,S-000378,2026-05-18,4800,PCE
RC-000274,PO-000480,P-00061611,S-000378,2026-05-28,4320,PCE
RC-000275,,P-00061611,S-000378,2026-05-29,1920,PCE
RC-000276,PO-000481,P-00061611,S-000378,2026-06-04,4800,PCE
RC-000277,,P-00061611,S-000378,2026-06-11,6720,PCE
RC-000278,,P-00061611,S-000378,2026-06-24,11040,PCE
RC-000279,,P-00061611,S-000378,2026-06-26,4800,PCE
RC-000280,,P-00061611,S-000378,2026-07-15,20400,PCE
RC-000281,PO-000488,P-00061611,S-000378,2026-07-27,960,PCE
RC-000282,PO-000489,P-00061611,S-000378,2026-08-09,960,PCE
RC-000283,PO-000490,P-00061611,S-000378,2026-08-27,4800,PCE
RC-000284,PO-000515,P-00068225,S-000378,2026-03-16,2100,PCE
RC-000285,,P-00068225,S-000378,2026-03-20,342,PCE
RC-000286,PO-000520,P-00068225,S-000378,2026-04-09,456,PCE
RC-000287,,P-00068225,S-000378,2026-04-22,456,PCE
RC-000288,,P-00068225,S-000378,2026-04-27,762,PCE
RC-000289,,P-00068225,S-000378,2026-04-30,684,PCE
RC-000290,PO-000525,P-00068225,S-000378,2026-05-07,1050,PCE
RC-000291,,P-00068225,S-000378,2026-05-20,1575,PCE
RC-000292,,P-00068225,S-000378,2026-05-27,1026,PCE
RC-000293,,P-00068225,S-000378,2026-05-29,630,PCE
RC-000294,PO-000530,P-00068225,S-000378,2026-06-04,1050,PCE
RC-000295,,P-00068225,S-000378,2026-06-11,912,PCE
RC-000296,,P-00068225,S-000378,2026-06-26,2100,PCE
RC-000297,,P-00068225,S-000378,2026-07-08,1470,PCE
RC-000298,,P-00068225,S-000378,2026-07-10,1890,PCE
RC-000299,,P-00068225,S-000378,2026-07-27,684,PCE
RC-000300,PO-000539,P-00068225,S-000378,2026-08-09,570,PCE
RC-000301,PO-000541,P-00068225,S-000378,2026-08-27,456,PCE
RC-000302,,P-00068225,S-000378,2026-09-09,912,PCE
RC-000303,,P-00068225,S-000378,2026-09-16,114,PCE
RC-000304,PO-000567,P-00072208,S-000517,2026-04-09,2700,PCE
RC-000305,PO-000568,P-00072208,S-000517,2026-04-23,5400,PCE
RC-000306,PO-000569,P-00072208,S-000517,2026-05-07,4500,PCE
RC-000307,PO-000570,P-00072208,S-000517,2026-05-18,4500,PCE
RC-000308,PO-000571,P-00072208,S-000517,2026-05-21,5400,PCE
RC-000309,PO-000572,P-00072208,S-000517,2026-05-28,1800,PCE
RC-000310,,P-00072208,S-000517,2026-06-05,4500,PCE
RC-000311,PO-000574,P-00072208,S-000517,2026-06-11,3600,PCE
RC-000312,PO-000576,P-00072208,S-000517,2026-06-18,4500,PCE
RC-000313,PO-000578,P-00072208,S-000517,2026-06-25,3600,PCE
RC-000314,,P-00072208,S-000517,2026-07-01,3600,PCE
RC-000315,PO-000580,P-00072208,S-000517,2026-07-09,5400,PCE
RC-000316,,P-00072208,S-000517,2026-07-17,2700,PCE
RC-000317,,P-00072208,S-000517,2026-07-27,4500,PCE
RC-000318,,P-00072208,S-000517,2026-07-30,2700,PCE
RC-000319,PO-000584,P-00072208,S-000517,2026-08-20,2700,PCE
RC-000320,PO-000585,P-00072208,S-000517,2026-08-27,5400,PCE
RC-000321,,P-00072208,S-000517,2026-09-04,4500,PCE
RC-000322,PO-000587,P-00072208,S-000517,2026-09-17,6300,PCE
RC-000323,PO-000614,P-00076292,S-000032,2026-03-18,1104,PCE
RC-000324,,P-00076292,S-000032,2026-03-19,1104,PCE
RC-000325,PO-000616,P-00076292,S-000032,2026-03-24,1104,PCE
RC-000326,PO-000617,P-00076292,S-000032,2026-03-26,1104,PCE
RC-000327,PO-000618,P-00076292,S-000032,2026-03-30,1104,PCE
RC-000328,PO-000619,P-00076292,S-000032,2026-04-01,1104,PCE
RC-000329,PO-000620,P-00076292,S-000032,2026-04-02,1104,PCE
RC-000330,PO-000621,P-00076292,S-000032,2026-04-09,936,PCE
RC-000331,PO-000622,P-00076292,S-000032,2026-04-10,168,PCE
RC-000332,PO-000623,P-00076292,S-000032,2026-04-13,1104,PCE
RC-000333,PO-000624,P-00076292,S-000032,2026-04-14,1080,PCE
RC-000334,PO-000625,P-00076292,S-000032,2026-04-16,1104,PCE
RC-000335,PO-000626,P-00076292,S-000032,2026-04-21,1104,PCE
RC-000336,PO-000627,P-00076292,S-000032,2026-04-23,1104,PCE
RC-000337,PO-000628,P-00076292,S-000032,2026-04-28,1104,PCE
RC-000338,PO-000629,P-00076292,S-000032,2026-04-30,1104,PCE
RC-000339,PO-000630,P-00076292,S-000032,2026-05-05,1104,PCE
RC-000340,PO-000631,P-00076292,S-000032,2026-05-07,1104,PCE
RC-000341,PO-000632,P-00076292,S-000032,2026-05-12,1104,PCE
RC-000342,PO-000633,P-00076292,S-000032,2026-05-13,1104,PCE
RC-000343,PO-000634,P-00076292,S-000032,2026-05-19,1104,PCE
RC-000344,PO-000635,P-00076292,S-000032,2026-05-26,1104,PCE
RC-000345,PO-000636,P-00076292,S-000032,2026-05-28,1104,PCE
RC-000346,PO-000637,P-00076292,S-000032,2026-05-29,1104,PCE
RC-000347,PO-000638,P-00076292,S-000032,2026-06-01,1104,PCE
RC-000348,PO-000639,P-00076292,S-000032,2026-06-03,1104,PCE
RC-000349,PO-000640,P-00076292,S-000032,2026-06-08,1104,PCE
RC-000350,PO-000641,P-00076292,S-000032,2026-06-11,1104,PCE
RC-000351,PO-000642,P-00076292,S-000032,2026-06-16,1104,PCE
RC-000352,PO-000643,P-00076292,S-000032,2026-06-18,1104,PCE
RC-000353,PO-000644,P-00076292,S-000032,2026-06-23,1104,PCE
RC-000354,PO-000645,P-00076292,S-000032,2026-06-25,1104,PCE
RC-000355,PO-000646,P-00076292,S-000032,2026-07-07,1104,PCE
RC-000356,PO-000647,P-00076292,S-000032,2026-07-09,1104,PCE
RC-000357,PO-000648,P-00076292,S-000032,2026-07-13,1104,PCE
RC-000358,PO-000649,P-00076292,S-000032,2026-07-16,2208,PCE
RC-000359,PO-000650,P-00076292,S-000032,2026-07-21,1104,PCE
RC-000360,PO-000651,P-00076292,S-000032,2026-07-23,1104,PCE
RC-000361,PO-000652,P-00076292,S-000032,2026-08-28,1104,PCE
RC-000362,PO-000653,P-00076292,S-000032,2026-09-04,1104,PCE
RC-000363,PO-000654,P-00076292,S-000032,2026-09-11,1104,PCE
RC-000364,PO-000655,P-00076292,S-000032,2026-09-18,1104,PCE
RC-000365,,P-00097112,S-000904,2026-04-28,2907.5,KG
RC-000366,,P-00097112,S-000904,2026-05-22,10334.5,KG
RC-000367,,P-00097112,S-000904,2026-06-08,3923.5,KG
RC-000368,,P-00097112,S-000904,2026-06-10,11254,KG
RC-000369,,P-00097112,S-000904,2026-06-22,3923.5,KG
RC-000370,,P-00097112,S-000904,2026-06-24,960,KG
RC-000371,PO-000695,P-00097112,S-000904,2026-06-25,970.2,KG
RC-000372,,P-00097112,S-000904,2026-06-26,483.3,KG
RC-000373,,P-00097112,S-000904,2026-06-29,895.8,KG
RC-000374,,P-00097112,S-000904,2026-06-30,952.1,KG
RC-000375,,P-00097112,S-000904,2026-07-01,729.5,KG
RC-000376,,P-00097112,S-000904,2026-07-03,1882.1,KG
RC-000377,,P-00097112,S-000904,2026-07-06,944.6,KG
RC-000378,PO-000697,P-00097112,S-000904,2026-07-09,980.2,KG
RC-000379,,P-00097112,S-000904,2026-07-10,957.8,KG
RC-000380,,P-00097112,S-000904,2026-07-13,934.2,KG
RC-000381,,P-00097112,S-000904,2026-07-15,2199,KG
RC-000382,PO-000698,P-00097112,S-000904,2026-07-16,484.5,KG
RC-000383,,P-00097112,S-000904,2026-07-17,1700,KG
RC-000384,,P-00097112,S-000904,2026-07-20,915.8,KG
RC-000385,,P-00097112,S-000904,2026-07-21,1929.6,KG
RC-000386,PO-000699,P-00097112,S-000904,2026-07-23,3531.7,KG
RC-000387,,P-00097112,S-000904,2026-07-27,2416,KG
RC-000388,,P-00097112,S-000904,2026-07-28,1907,KG
RC-000389,,P-00097112,S-000904,2026-07-29,492,KG
RC-000390,,P-00097112,S-000904,2026-08-06,1447,KG
RC-000391,,P-00097112,S-000904,2026-08-19,2325.5,KG
RC-000392,PO-000701,P-00097112,S-000904,2026-08-20,1110.5,KG
RC-000393,,P-00097112,S-000904,2026-08-26,4689.5,KG
RC-000394,PO-000702,P-00097112,S-000904,2026-08-27,3253,KG
RC-000395,,P-00097112,S-000904,2026-08-31,3635,KG
RC-000396,,P-00097112,S-000904,2026-09-02,6925.5,KG
RC-000397,,P-00097112,S-000904,2026-09-07,5092.5,KG
RC-000398,,P-00097112,S-000904,2026-09-08,3207.5,KG
